Partner,Sector,Required,Receive,Quarter,Gap,Reported,Year,NewReceived
ACF,BASIC NEEDS,3872600,249366,1- First Quarter,3623234,Yes,2015,249366
ACF,PROTECTION,571600,0,1- First Quarter,571600,Yes,2015,0
ACF,WASH,0,98814,1- First Quarter,-98814,Yes,2015,98814
ACTED,EDUCATION,225000,0,1- First Quarter,225000,Yes,2015,0
ACTED,FOOD SECURITY,235900,0,1- First Quarter,235900,Yes,2015,0
ACTED,PROTECTION,1325500,0,1- First Quarter,1325500,Yes,2015,0
ACTED,SHELTER,1050000,0,1- First Quarter,1050000,Yes,2015,0
ACTED,WASH,3761000,0,1- First Quarter,3761000,Yes,2015,0
ActionAid,BASIC NEEDS,600280,245624,1- First Quarter,354656,Yes,2015,245624
ActionAid,EDUCATION,269200,71566,1- First Quarter,197634,Yes,2015,71566
ActionAid,PROTECTION,1157350,141163,1- First Quarter,1016187,Yes,2015,141163
APS,PROTECTION,154420,0,1- First Quarter,154420,Yes,2015,0
AVSI,BASIC NEEDS,790000,0,1- First Quarter,790000,Yes,2015,0
AVSI,EDUCATION,207500,51300,1- First Quarter,156200,Yes,2015,51300
CARE,BASIC NEEDS,1081976,2000000,1- First Quarter,-918024,Yes,2015,2000000
CARE,PROTECTION,3020240,800000,1- First Quarter,2220240,Yes,2015,800000
Caritas,BASIC NEEDS,5845690,1506814,1- First Quarter,4338876,Yes,2015,1506814
Caritas,EDUCATION,3334634.97,682011,1- First Quarter,2652623.97,Yes,2015,682011
Caritas,FOOD SECURITY,1355932,184322,1- First Quarter,1171610,Yes,2015,184322
Caritas,HEALTH,3846200,0,1- First Quarter,3846200,Yes,2015,0
Caritas,PROTECTION,138330.94,40272,1- First Quarter,98058.94,Yes,2015,40272
Caritas,SHELTER,2699680,796677,1- First Quarter,1903003,Yes,2015,796677
Caritas,WASH,532635,241243,1- First Quarter,291392,Yes,2015,241243
CVT,HEALTH,3600000,1966666.667,1- First Quarter,1633333.333,Yes,2015,1966666.667
DRC,EDUCATION,562358,0,1- First Quarter,562358,Yes,2015,0
DRC,PROTECTION,4462056,680392,1- First Quarter,3781664,Yes,2015,680392
DRC,WASH,230000,0,1- First Quarter,230000,Yes,2015,0
FAO,FOOD SECURITY,1300000,950000,1- First Quarter,350000,Yes,2015,950000
FCA,EDUCATION,2769760,265000,1- First Quarter,2504760,Yes,2015,265000
FPSC,EDUCATION,500000,0,1- First Quarter,500000,Yes,2015,0
FPSC,FOOD SECURITY,150000,0,1- First Quarter,150000,Yes,2015,0
FPSC,PROTECTION,1664816,57242,1- First Quarter,1607574,Yes,2015,57242
HI,BASIC NEEDS,1494000,994350,1- First Quarter,499650,Yes,2015,994350
HI,HEALTH,3599000,1802199,1- First Quarter,1796801,Yes,2015,1802199
HI,PROTECTION,900000,340583,1- First Quarter,559417,Yes,2015,340583
ICMC,BASIC NEEDS,1191632,373311,1- First Quarter,818321,Yes,2015,373311
ICMC,EDUCATION,195667,15624,1- First Quarter,180043,Yes,2015,15624
ICMC,PROTECTION,510246.1,268384,1- First Quarter,241862.1,Yes,2015,268384
ICMC,SHELTER,506210.7,360882,1- First Quarter,145328.7,Yes,2015,360882
